category,orig_name,name,longitude,latitude,alley_capacity,jeep_count,average_time_arrival_mins,total_passenger,time_slot,orig_name.1
University,XAVIER UNIVERSITY,Xavier University,461007.486,937354.1027,3,26,6,53,12:00:00 pm to 3:00:00 pm,XAVIER UNIVERSITY
University,XAVIER UNIVERSITY,Xavier University,461007.486,937354.1027,3,30,6,58,3:00:00 pm to 5:00:00 pm,XAVIER UNIVERSITY
University,XAVIER UNIVERSITY,Xavier University,461007.486,937354.1027,3,32,6,58,5:00:00 pm to 7:00:00 pm,XAVIER UNIVERSITY
University,LICEO DE CAGAYAN UNIVERSITY,Liceo de Cagayan University,460118.6898,938369.3839,4,19,10,56,8:00:00 am to 10:00:00 am,LICEO DE CAGAYAN UNIVERSITY
University,LICEO DE CAGAYAN UNIVERSITY,Liceo de Cagayan University,460118.6898,938369.3839,4,22,10,71,10:00:00 am to 12:00:00 pm,LICEO DE CAGAYAN UNIVERSITY
University,LICEO DE CAGAYAN UNIVERSITY,Liceo de Cagayan University,460118.6898,938369.3839,4,26,10,60,12:00:00 pm to 3:00:00 pm,LICEO DE CAGAYAN UNIVERSITY
University,LICEO DE CAGAYAN UNIVERSITY,Liceo de Cagayan University,460118.6898,938369.3839,4,23,10,64,3:00:00 pm to 5:00:00 pm,LICEO DE CAGAYAN UNIVERSITY
University,LICEO DE CAGAYAN UNIVERSITY,Liceo de Cagayan University,460118.6898,938369.3839,4,31,10,64,5:00:00 pm to 7:00:00 pm,LICEO DE CAGAYAN UNIVERSITY
University,CAPITOL UNIVERSITY,Capitol University,461600.7985,938666.5702,3,13,8,23,8:00:00 am to 10:00:00 am,CAPITOL UNIVERSITY
University,CAPITOL UNIVERSITY,Capitol University,461600.7985,938666.5702,3,15,8,35,10:00:00 am to 12:00:00 pm,CAPITOL UNIVERSITY
University,CAPITOL UNIVERSITY,Capitol University,461600.7985,938666.5702,3,21,8,41,12:00:00 pm to 3:00:00 pm,CAPITOL UNIVERSITY
University,CAPITOL UNIVERSITY,Capitol University,461600.7985,938666.5702,3,27,8,56,3:00:00 pm to 5:00:00 pm,CAPITOL UNIVERSITY
University,CAPITOL UNIVERSITY,Capitol University,461600.7985,938666.5702,3,25,8,56,5:00:00 pm to 7:00:00 pm,CAPITOL UNIVERSITY
University,LOURDES COLLEGE,Lourdes College,460492.5004,937406.8323,4,15,8,23,8:00:00 am to 10:00:00 am,LOURDES COLLEGE
University,LOURDES COLLEGE,Lourdes College,460492.5004,937406.8323,4,20,8,35,10:00:00 am to 12:00:00 pm,LOURDES COLLEGE
University,LOURDES COLLEGE,Lourdes College,460492.5004,937406.8323,4,21,8,41,12:00:00 pm to 3:00:00 pm,LOURDES COLLEGE
University,LOURDES COLLEGE,Lourdes College,460492.5004,937406.8323,4,23,8,56,3:00:00 pm to 5:00:00 pm,LOURDES COLLEGE
University,LOURDES COLLEGE,Lourdes College,460492.5004,937406.8323,4,26,8,56,5:00:00 pm to 7:00:00 pm,LOURDES COLLEGE
Mall,CENTRIO MALL,Centrio Mall,461431.1837,938345.2216,5,26,8,21,8:00:00 am to 10:00:00 am,CENTRIO MALL
Mall,CENTRIO MALL,Centrio Mall,461431.1837,938345.2216,5,34,8,30,10:00:00 am to 12:00:00 pm,CENTRIO MALL
Mall,CENTRIO MALL,Centrio Mall,461431.1837,938345.2216,5,38,8,32,12:00:00 pm to 3:00:00 pm,CENTRIO MALL
Mall,CENTRIO MALL,Centrio Mall,461431.1837,938345.2216,5,46,8,68,3:00:00 pm to 5:00:00 pm,CENTRIO MALL
